steps,time_ms
1000,0.840458
2000,0.241084
3000,0.384750
4000,0.551000
5000,0.693792
6000,0.782750
7000,0.927833
8000,1.056833
9000,1.228042
10000,1.343500
11000,0.702958
12000,1.164459
13000,1.221459
14000,1.294417
15000,1.943166
16000,0.990500
17000,1.097459
18000,2.664459
19000,2.676583
20000,2.183333
21000,2.618875
22000,3.024000
23000,2.769125
24000,2.247041
25000,3.192625
26000,3.378666
27000,3.399458
28000,3.556375
29000,3.676000
30000,3.770375
31000,3.813875
32000,4.011917
33000,4.031042
34000,4.095833
35000,4.234000
36000,4.395417
37000,4.524625
38000,4.609750
39000,4.874125
40000,4.943834
41000,5.029542
42000,5.200916
43000,5.523542
44000,5.661708
45000,5.923416
46000,6.221125
47000,6.437375
48000,6.756417
49000,6.926417
50000,7.214791
51000,7.544709
52000,7.831084
53000,8.215375
54000,8.411000
55000,8.760083
56000,9.045750
57000,9.613709
58000,9.975125
59000,10.324667
60000,10.614917
61000,10.937000
62000,11.332541
63000,11.553708
64000,11.996958
65000,12.115875
66000,12.440792
67000,12.780000
68000,13.205875
69000,13.489750
70000,13.813916
71000,14.307833
72000,14.699292
73000,15.058417
74000,15.434875
75000,15.828459
76000,16.265209
77000,16.809375
78000,17.179250
79000,18.080917
80000,18.415333
81000,18.522125
82000,18.903666
83000,19.823167
84000,19.775042
85000,20.311875
86000,20.616125
87000,21.039958
88000,22.246167
89000,23.252708
90000,23.007334
91000,23.682875
92000,24.160333
93000,24.620541
94000,25.146292
95000,25.637958
96000,26.225042
97000,26.705833
98000,27.244625
99000,27.810291
100000,28.382875
101000,28.962416
102000,29.568083
103000,29.988875
104000,29.981875
105000,30.416750
106000,31.181125
107000,31.415250
108000,32.831916
109000,33.373416
110000,34.080167
111000,34.647833
112000,35.192750
113000,35.961083
114000,36.531833
115000,37.160042
116000,37.915583
117000,38.544750
118000,39.341875
119000,38.986958
120000,39.638584
121000,41.328000
122000,41.850375
123000,42.438458
124000,43.141000
125000,43.682000
126000,44.403375
127000,45.202625
128000,45.937417
129000,46.676750
130000,47.221792
131000,48.002250
132000,48.797084
133000,49.331917
134000,50.146834
135000,50.987458
136000,51.629500
137000,52.250625
138000,53.048875
139000,53.159250
140000,54.890542
141000,55.376375
142000,56.220584
143000,58.108875
144000,58.830750
145000,59.417250
146000,59.975208
147000,59.967417
148000,61.400000
149000,62.255666
150000,62.622000
151000,63.337750
152000,65.271917
153000,66.340542
154000,66.138542
155000,67.392041
156000,68.079542
157000,68.608750
158000,70.379458
159000,71.480208
160000,71.926167
161000,72.210416
162000,73.601834
163000,75.016750
164000,77.961417
165000,75.953250
166000,77.383750
167000,78.536917
168000,78.896542
169000,79.534292
170000,81.071417
171000,80.983583
172000,80.864333
173000,81.661667
174000,82.794208
175000,84.550209
176000,85.833083
177000,86.885416
178000,87.780042
179000,88.446667
180000,89.570333
181000,90.711334
182000,91.232167
183000,92.408000
