steps,time_ms
100,0.005500
1100,0.052750
2100,0.100334
3100,0.148208
4100,0.195958
5100,0.243541
6100,0.291916
7100,0.339333
8100,0.387666
9100,0.439375
10100,0.489417
11100,0.569166
12100,0.579583
13100,0.625542
14100,0.678458
15100,0.703417
16100,0.676667
17100,0.714916
18100,0.725625
19100,0.716084
20100,0.746708
21100,0.655667
22100,0.582542
23100,0.606292
24100,0.633500
25100,0.659791
26100,0.686541
27100,0.713000
28100,0.740959
29100,0.771500
30100,0.666834
31100,0.670792
32100,0.713834
33100,0.735125
34100,0.729042
35100,0.751125
36100,0.771875
37100,0.792125
38100,0.813000
39100,0.835708
40100,0.808791
41100,0.749083
42100,0.766875
43100,0.786375
44100,0.810500
45100,0.823958
46100,0.839709
47100,0.859959
48100,0.880167
49100,0.892042
50100,0.819375
51100,0.803542
52100,0.823042
53100,0.840292
54100,0.851458
55100,0.875709
56100,0.884292
57100,0.900125
58100,0.914542
59100,0.880500
60100,0.846042
61100,0.857958
62100,0.871250
63100,0.886000
64100,0.902084
65100,0.914000
66100,0.873916
67100,0.867792
68100,0.881625
69100,0.903041
70100,0.905083
71100,0.921375
72100,0.939750
73100,0.945583
74100,0.954417
75100,0.910625
76100,0.920417
77100,0.932292
78100,0.958875
79100,0.957500
80100,0.974417
81100,0.935875
82100,0.939625
83100,0.945750
84100,0.958834
85100,0.972458
86100,0.982083
87100,0.990208
88100,1.003958
89100,0.981625
90100,0.976042
91100,0.983208
92100,0.999500
93100,1.007250
94100,1.019875
95100,1.000875
96100,0.998500
97100,1.012458
98100,1.018833
99100,1.003541
100100,1.003667
101100,1.015209
102100,1.027375
103100,1.037209
104100,1.043666
105100,1.054167
106100,1.059709
107100,1.036708
108100,1.047125
109100,1.055708
110100,1.067750
111100,1.076625
112100,1.066459
113100,1.054041
114100,1.269916
115100,1.088375
116100,1.082542
117100,1.092917
118100,1.104709
119100,1.103417
120100,1.098875
121100,1.130875
122100,1.112500
123100,1.139833
124100,1.126333
125100,1.105250
126100,1.123292
127100,1.129417
128100,1.136042
129100,1.143000
130100,1.150625
131100,1.236958
132100,1.168875
133100,1.178375
134100,1.187333
135100,1.216208
136100,1.204625
137100,1.215208
138100,1.221000
139100,1.230667
140100,1.239292
141100,1.246000
142100,1.256708
143100,1.263917
144100,1.273458
145100,1.294708
146100,1.293208
147100,1.304584
148100,1.315416
149100,1.362916
150100,1.332250
151100,1.336292
152100,1.350125
153100,1.355000
154100,1.365542
155100,1.372709
156100,1.389875
157100,1.397084
158100,1.398750
159100,1.416000
160100,1.427291
161100,1.522375
162100,1.432834
163100,1.445333
164100,1.453292
165100,1.460292
166100,1.471000
167100,1.478916
168100,1.487834
169100,1.500542
170100,1.505666
171100,1.512292
172100,1.546750
173100,1.578750
174100,1.581875
175100,1.591375
176100,1.601375
177100,1.615250
178100,1.632750
179100,1.627625
180100,1.637791
181100,1.644584
182100,1.701708
183100,1.681792
184100,1.672750
185100,1.682000
186100,1.691833
187100,1.699541
188100,1.712292
189100,1.717708
190100,1.728166
191100,1.737916
192100,1.852458
193100,1.876333
194100,1.898833
195100,1.888667
196100,1.895666
197100,1.983333
198100,1.929250
199100,1.952750
200100,1.887875
201100,1.945709
202100,1.882708
203100,1.959250
204100,1.905167
205100,2.012292
206100,2.029292
207100,2.004458
208100,2.053875
209100,2.074041
210100,2.048333
211100,2.205625
212100,1.987250
213100,1.933292
214100,1.949000
215100,1.902375
216100,1.912667
217100,1.931125
218100,1.947834
219100,1.992417
220100,2.000541
221100,2.012500
222100,2.022750
223100,2.045250
224100,2.035875
225100,2.044959
226100,2.072333
227100,2.073041
228100,2.073083
229100,2.080750
230100,2.093958
231100,2.099791
232100,2.107667
233100,2.137417
234100,2.144417
235100,2.137792
236100,2.161792
237100,2.153875
238100,2.163834
239100,2.171416
240100,2.180334
241100,2.208292
242100,2.198417
243100,2.207542
244100,2.220000
245100,2.224459
246100,2.236083
247100,2.244916
248100,2.252292
249100,2.284084
250100,2.276250
251100,2.281333
252100,2.289917
253100,2.306666
254100,2.308792
255100,2.325458
256100,2.350792
257100,2.344750
258100,2.397375
259100,2.437750
260100,2.433958
261100,2.310000
262100,2.317375
263100,2.365459
264100,2.335125
265100,2.342791
266100,2.352041
267100,2.361959
268100,2.372625
269100,2.417625
270100,2.489000
271100,2.465417
272100,2.473042
273100,2.483084
274100,2.548667
275100,2.500125
276100,2.575916
277100,2.738916
278100,2.524375
279100,2.483917
280100,2.531292
281100,2.495334
282100,2.531541
283100,2.623208
284100,2.521167
285100,2.521250
286100,2.546916
287100,2.539166
288100,2.555125
289100,2.565750
290100,2.604458
291100,2.583792
292100,2.585792
293100,2.694041
294100,2.681166
295100,2.682625
296100,2.722334
297100,2.718416
298100,2.709708
299100,2.733708
300100,2.729208
301100,2.740042
302100,2.763958
303100,2.683417
304100,2.706667
305100,2.697833
306100,2.711167
307100,2.723417
308100,2.751833
309100,2.735625
310100,2.752709
311100,2.753792
312100,2.768208
313100,2.777959
314100,2.817750
315100,2.788125
316100,2.816125
317100,2.804041
318100,2.836625
319100,2.856750
320100,2.928500
321100,3.112916
322100,3.047709
323100,2.935917
324100,2.944750
325100,2.956542
326100,3.004833
327100,2.982917
328100,3.005625
329100,2.990583
330100,2.998917
331100,3.041959
332100,3.022458
333100,3.037542
334100,3.056458
335100,3.114292
336100,2.974417
337100,3.003083
338100,3.023333
339100,2.998833
340100,3.006833
341100,3.077750
342100,3.137542
343100,3.057500
344100,3.052541
345100,3.046334
346100,3.059416
347100,3.067709
348100,3.115333
349100,3.098250
350100,3.104291
351100,3.224542
352100,3.208792
353100,3.213334
354100,3.138834
355100,3.155541
356100,3.152500
357100,3.224750
358100,3.211708
359100,3.181791
360100,3.191042
361100,3.197042
362100,3.209041
363100,3.209000
364100,3.281417
365100,3.317167
366100,3.327333
367100,3.350667
368100,3.352125
369100,3.321167
370100,3.284125
371100,3.293000
372100,3.288958
373100,3.301500
374100,3.343334
375100,3.319917
376100,3.548417
377100,3.609000
378100,3.701166
379100,3.584083
380100,3.568583
381100,3.587833
382100,3.584334
383100,3.613833
384100,3.632000
385100,3.645459
386100,3.696875
387100,3.430709
388100,3.492042
389100,3.536500
390100,3.566625
391100,3.552666
392100,3.592417
393100,3.509375
394100,3.492708
395100,3.557917
396100,3.501750
397100,3.567458
398100,3.591625
399100,3.640542
400100,3.673708
401100,3.665833
402100,3.675291
403100,3.672959
404100,3.714917
405100,3.682666
406100,3.724375
407100,3.699000
408100,3.709500
409100,3.719208
410100,3.731625
411100,3.750875
412100,3.977458
413100,3.690375
414100,3.662417
415100,3.714292
416100,3.735917
417100,3.796167
418100,3.802291
419100,3.858083
420100,3.753042
421100,3.726250
422100,3.735708
423100,3.807125
424100,3.833166
425100,3.769042
426100,3.770458
427100,3.784625
428100,3.921875
429100,3.909291
430100,3.920042
431100,3.922417
432100,4.017833
433100,3.925041
434100,3.858084
435100,3.863750
436100,3.944416
437100,3.920500
438100,3.951750
439100,4.011666
440100,4.007875
441100,3.979666
442100,3.929666
443100,3.979750
444100,3.964000
445100,4.090458
446100,4.063500
447100,4.122208
448100,4.089875
449100,4.119833
450100,4.095000
451100,4.131792
452100,4.120250
453100,4.217000
454100,4.131584
455100,4.156250
456100,4.155833
457100,4.200667
458100,4.173166
459100,4.175875
460100,4.188458
461100,4.236584
462100,4.132500
463100,4.110292
464100,4.114041
465100,4.190417
466100,4.122583
467100,4.138375
468100,4.271833
469100,4.290584
470100,4.287292
471100,4.297375
472100,4.307709
473100,4.350833
474100,4.195459
475100,4.213125
476100,4.235042
477100,4.334959
478100,4.266917
479100,4.254042
480100,4.367834
481100,4.362792
482100,4.262291
483100,4.288125
484100,4.318792
485100,4.386250
486100,4.427917
487100,4.487708
488100,4.450500
489100,4.451958
490100,4.512916
491100,4.467292
492100,4.514792
493100,4.388083
494100,4.479458
495100,4.503542
496100,4.539792
497100,4.526708
498100,4.528459
499100,4.566708
500100,4.567875
501100,4.561625
502100,4.573459
503100,4.598167
504100,4.584084
505100,4.596541
506100,4.602833
507100,4.701500
508100,4.622708
509100,4.630167
510100,4.676041
511100,4.649042
512100,4.661958
513100,4.668417
514100,4.694958
515100,4.686042
516100,4.698292
517100,4.703125
518100,4.747708
519100,4.737250
520100,4.774125
521100,4.780417
522100,4.751209
523100,4.755583
524100,4.782916
525100,4.822500
526100,4.781542
527100,4.799583
528100,4.822708
529100,4.819417
530100,4.820000
531100,4.871459
532100,4.839875
533100,4.854500
534100,4.858542
535100,4.922125
536100,4.874584
537100,4.894625
538100,4.909792
539100,4.908042
540100,4.913333
541100,4.925292
542100,4.937917
543100,4.941458
544100,4.941458
545100,5.016958
546100,4.973209
547100,4.977333
548100,5.084833
549100,5.002625
550100,4.994209
551100,5.019000
552100,5.056542
553100,5.045791
554100,5.061417
555100,5.070917
556100,5.064125
557100,5.096791
558100,5.099166
559100,5.103125
560100,5.110500
561100,5.149917
562100,5.125875
563100,5.137834
564100,5.134625
565100,5.162875
566100,5.169667
567100,5.156500
568100,5.179917
569100,5.228083
570100,5.194541
571100,5.219709
572100,5.202917
573100,5.274417
574100,5.252041
575100,5.231416
576100,5.260125
577100,5.250959
578100,5.278833
579100,5.281292
580100,5.284417
581100,5.307083
582100,5.311750
583100,5.311208
584100,5.345459
585100,5.341208
586100,5.340542
587100,5.383375
588100,5.368292
589100,5.428333
590100,5.392584
591100,5.376625
592100,5.399042
593100,5.458709
594100,5.404000
595100,5.442542
596100,5.451708
597100,5.436125
598100,5.486625
599100,5.478208
600100,5.461750
601100,5.487500
602100,5.522292
603100,5.483542
604100,5.530167
605100,5.541458
606100,5.518958
607100,5.516167
608100,5.552167
609100,5.560542
610100,5.544208
611100,5.575000
612100,5.581834
613100,5.581708
614100,5.602750
615100,5.598541
616100,5.603708
617100,5.637375
618100,5.620000
619100,5.632000
620100,5.668375
621100,5.659167
622100,5.664125
623100,5.687292
624100,5.730750
625100,5.697542
626100,5.715417
627100,5.849958
628100,5.710458
629100,5.750875
630100,5.742834
631100,5.749167
632100,5.789250
633100,5.773125
634100,5.776708
635100,5.775792
636100,5.780250
637100,5.876250
638100,5.851541
639100,5.813500
640100,5.859916
641100,5.863166
642100,5.836542
643100,5.917958
644100,5.856083
645100,5.922042
646100,6.035792
647100,6.234584
648100,6.064625
649100,6.093250
650100,6.111167
651100,6.130209
652100,6.076167
653100,5.965375
654100,5.988625
655100,5.968083
656100,5.996125
657100,5.995000
658100,6.016625
659100,5.999375
660100,6.020667
661100,6.029750
662100,6.019708
663100,6.056250
664100,6.057750
665100,6.100375
666100,6.063792
